,brightness,sigma,activation,trace,threshold,effective_charge_per_second,amplitude,stim_condition,time
4480,0.11692516505718231,0.0,1.9671655970832091e-10,7.367479156528134e-06,0.0,0.0,0.0,8,0.96
4481,0.1169181764125824,0.0,1.9317565602694486e-10,7.36747188057052e-06,0.0,0.0,0.0,8,0.962
4482,0.11691129207611084,0.0,1.896984930249701e-10,7.3674646046129055e-06,0.0,0.0,0.0,8,0.964
4483,0.11690454185009003,0.0,1.862839188460086e-10,7.367457328655291e-06,0.0,0.0,0.0,8,0.966
4484,0.11689792573451996,0.0,1.8293080938924788e-10,7.367450052697677e-06,0.0,0.0,0.0,8,0.968
4485,0.11689139157533646,0.0,1.7963805443166336e-10,7.367442776740063e-06,0.0,0.0,0.0,8,0.97
4486,0.11688502132892609,0.0,1.7640457150580602e-10,7.367435500782449e-06,0.0,0.0,0.0,8,0.972
4487,0.11687871813774109,0.0,1.7322929202201465e-10,7.367428224824835e-06,0.0,0.0,0.0,8,0.974
4488,0.11687256395816803,0.0,1.7011116126841586e-10,7.3674209488672204e-06,0.0,0.0,0.0,8,0.976
4489,0.11686651408672333,0.0,1.6704916616649967e-10,7.367413672909606e-06,0.0,0.0,0.0,8,0.978
4490,0.11686056107282639,0.0,1.6404227975996832e-10,7.367406396951992e-06,0.0,0.0,0.0,8,0.98
4491,0.116854727268219,0.0,1.6108951672588745e-10,7.367399120994378e-06,0.0,0.0,0.0,8,0.982
4492,0.11684899777173996,0.0,1.581899056191105e-10,7.367391845036764e-06,0.0,0.0,0.0,8,0.984
4493,0.11684338003396988,0.0,1.5534248887227875e-10,7.3673845690791495e-06,0.0,0.0,0.0,8,0.986
4494,0.11683785170316696,0.0,1.5254632279582125e-10,7.367377293121535e-06,0.0,0.0,0.0,8,0.988
4495,0.116832435131073,0.0,1.498004914557427e-10,7.367370017163921e-06,0.0,0.0,0.0,8,0.99
4496,0.1168271005153656,0.0,1.4710407891804778e-10,7.367362741206307e-06,0.0,0.0,0.0,8,0.992
4497,0.11682186275720596,0.0,1.4445621088210459e-10,7.367355465248693e-06,0.0,0.0,0.0,8,0.994
4498,0.11681671440601349,0.0,1.4185599916949343e-10,7.367348189291079e-06,0.0,0.0,0.0,8,0.996
4499,0.11681167781352997,0.0,1.3930259723515803e-10,7.367340913333464e-06,0.0,0.0,0.0,8,0.998
4500,0.13273650407791138,0.09695376455783844,7.762199771832456e-09,1.0832368957380822e-07,0.0,3.881099928548792e-06,0.0001,9,0.0
4501,0.15043441951274872,0.09695376455783844,1.5373629480563977e-08,2.1649307768711878e-07,0.0,3.875575202982873e-06,0.0001,9,0.002
4502,0.16962966322898865,0.09695376455783844,2.28370229393704e-08,3.245083917136071e-07,0.0,3.87005911761662e-06,0.0001,9,0.004
