pulse_width,frequency,train_duration,charge_per_phase,proportion_phosphene_perception,label,amplitude,charge_per_trial,duty_cycle,corrected_duration,total_charge_loss_,total_effective_charge_,max_activation_,estimated_proportion_phosphene_perception_
0.00017,300.0,0.166,5e-09,0.3,fig2B,2.941176470588235e-05,2.49e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,4.6662600000000004e-08,2.2589114149749636e-08,0.15270970692658187
0.00017,300.0,0.166,7.0000000000000015e-09,0.5,fig2B,4.11764705882353e-05,3.4860000000000014e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,1.4626260000000013e-07,7.080493944270517e-08,0.37944335911403837
0.00017,300.0,0.166,8.5e-09,0.9,fig2B,4.9999999999999996e-05,4.2330000000000004e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,2.2096260000000002e-07,1.069668084124218e-07,0.5915408042597332
0.00017,300.0,0.166,1e-08,0.88,fig2B,5.88235294117647e-05,4.98e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,2.9566260000000005e-07,1.4312867738213855e-07,0.779339267855595
0.00017,300.0,0.166,1.2000000000000002e-08,0.8,fig2B,7.058823529411765e-05,5.976000000000001e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,3.952626000000001e-07,1.9134450267509396e-07,0.931611554352363
0.00017,300.0,0.166,1.35e-08,1.0,fig2B,7.941176470588235e-05,6.723000000000001e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,4.699626000000001e-07,2.2750637164481063e-07,0.9786357788580852
0.00017,300.0,0.166,1.5000000000000002e-08,1.0,fig2B,8.823529411764706e-05,7.470000000000002e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,5.446626000000002e-07,2.636682406145272e-07,0.9948383561221699
0.00017,300.0,0.166,1.7e-08,1.0,fig2B,9.999999999999999e-05,8.466000000000001e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,6.442626000000001e-07,3.1188406590748255e-07,0.9994859935964846
0.00017,300.0,0.05,0.0,0.0,fig2C,0.0,0.0,0.051000000000000004,0.00255,6.094500000000001e-08,-6.094500000000001e-08,0.0,0.0867197656959966
0.00017,300.0,0.05,1.7e-09,0.0,fig2C,9.999999999999999e-06,2.55e-08,0.051000000000000004,0.00255,6.094500000000001e-08,-3.544500000000001e-08,0.0,0.0867197656959966
0.00017,300.0,0.05,3.4000000000000003e-09,0.0,fig2C,2e-05,5.1e-08,0.051000000000000004,0.00255,6.094500000000001e-08,-9.945000000000007e-09,0.0,0.0867197656959966
0.00017,300.0,0.05,5.1e-09,0.0,fig2C,2.9999999999999997e-05,7.65e-08,0.051000000000000004,0.00255,6.094500000000001e-08,1.5554999999999996e-08,1.234626671746763e-08,0.11951839862680108
0.00017,300.0,0.05,6.8000000000000005e-09,0.1,fig2C,4e-05,1.02e-07,0.051000000000000004,0.00255,6.094500000000001e-08,4.105499999999999e-08,3.258604822151295e-08,0.1905080488072235
0.00017,300.0,0.05,8.5e-09,0.1,fig2C,4.9999999999999996e-05,1.2750000000000002e-07,0.051000000000000004,0.00255,6.094500000000001e-08,6.655500000000002e-08,5.282582972555822e-08,0.2827628155049176
0.00017,300.0,0.05,1.02e-08,0.2,fig2C,5.9999999999999995e-05,1.53e-07,0.051000000000000004,0.00255,6.094500000000001e-08,9.2055e-08,7.306561122960356e-08,0.39231843474017136
0.00017,300.0,0.05,1.19e-08,0.2,fig2C,7e-05,1.7850000000000002e-07,0.051000000000000004,0.00255,6.094500000000001e-08,1.1755500000000001e-07,9.330539273364886e-08,0.5112050682519528
0.00017,300.0,0.05,1.3600000000000001e-08,0.5,fig2C,8e-05,2.04e-07,0.051000000000000004,0.00255,6.094500000000001e-08,1.4305499999999998e-07,1.1354517423769424e-07,0.6290970180436389
0.00017,300.0,0.05,1.53e-08,0.75,fig2C,9e-05,2.295e-07,0.051000000000000004,0.00255,6.094500000000001e-08,1.68555e-07,1.3378495574173955e-07,0.7359257315493752
0.00017,300.0,0.05,1.7e-08,0.6,fig2C,9.999999999999999e-05,2.5500000000000005e-07,0.051000000000000004,0.00255,6.094500000000001e-08,1.9405500000000005e-07,1.5402473724578477e-07,0.8243851961750943
